Turn,TotalEnergy
1,693
2,1237
3,1792
4,2338
5,2865
6,3325
7,3787
8,4182
9,4592
10,4981
11,5346
12,5700
13,6028
14,6310
15,6576
16,6843
17,7103
18,7365
19,7617
20,7887
21,8167
22,8439
23,8715
24,9012
25,9296
26,9605
27,9932
28,10220
29,10537
30,10858
31,11180
32,11497
33,11795
34,12076
35,12345
36,12620
37,12914
38,13194
39,13488
40,13777
41,14073
42,14372
43,14667
44,14960
45,15266
46,15570
47,15886
48,16218
49,16533
50,16829
51,17118
52,17397
53,17684
54,17967
55,18243
56,18529
57,18810
58,19089
59,19381
60,19667
61,19973
62,20272
63,20556
64,20849
65,21144
66,21443
67,21744
68,22012
69,22309
70,22590
71,22881
72,23170
73,23460
74,23751
75,24028
76,24309
77,24596
78,24896
79,25198
80,25511
81,25814
82,26126
83,26430
84,26735
85,27031
86,27329
87,27610
88,27887
89,28187
90,28484
91,28783
92,29080
93,29360
94,29634
95,29900
96,30176
97,30463
98,30751
99,31048
100,31344
101,31641
102,31922
103,32199
104,32471
105,32751
106,33028
107,33316
108,33621
109,33918
110,34221
111,34494
112,34781
113,35069
114,35360
115,35657
116,35940
117,36233
118,36534
119,36818
120,37088
121,37335
122,37598
123,37885
124,38185
125,38478
126,38773
127,39075
128,39376
129,39658
130,39945
131,40234
132,40519
133,40808
134,41097
135,41397
136,41691
137,41946
138,42171
139,42437
140,42726
141,43032
142,43335
143,43626
144,43926
145,44223
146,44490
147,44763
148,45065
149,45351
150,45617
151,45902
152,46200
153,46503
154,46800
155,47093
156,47384
157,47685
158,47963
159,48251
160,48559
161,48856
162,49163
163,49461
164,49778
165,50105
166,50396
167,50694
168,50971
169,51264
170,51552
171,51849
172,52135
173,52401
174,52679
175,52961
176,53252
177,53530
178,53822
179,54102
180,54400
181,54709
182,55019
183,55322
184,55634
185,55943
186,56258
187,56551
188,56851
189,57143
190,57436
191,57718
192,57995
193,58277
194,58547
195,58805
196,59078
197,59363
198,59673
199,59980
200,60283
201,60579
202,60872
203,61163
204,61446
205,61728
206,62025
207,62311
208,62599
209,62881
210,63163
211,63444
212,63736
213,64012
214,64251
215,64519
216,64792
217,65109
218,65440
219,65768
220,66109
221,66441
222,66747
223,67024
224,67328
225,67604
226,67881
227,68163
228,68424
229,68707
230,69020
231,69329
232,69610
233,69878
234,70161
235,70436
236,70714
237,71003
238,71309
239,71617
240,71923
241,72224
242,72521
243,72823
244,73092
245,73374
246,73652
247,73935
248,74226
249,74544
250,74876
251,75203
252,75492
253,75771
254,76045
255,76333
256,76642
257,76936
258,77203
259,77493
260,77776
261,78065
262,78352
263,78621
264,78881
265,79159
266,79442
267,79731
268,80042
269,80363
270,80666
271,80954
272,81235
273,81517
274,81809
275,82112
276,82406
277,82701
278,82979
279,83275
280,83574
281,83870
282,84155
283,84434
284,84727
285,85016
286,85330
287,85654
288,85968
289,86241
290,86522
291,86810
292,87111
293,87392
294,87692
295,87980
296,88268
297,88584
298,88891
299,89210
300,89486
301,89758
302,90032
303,90278
304,90547
305,90838
306,91135
307,91455
308,91778
309,92078
310,92389
311,92698
312,93006
313,93300
314,93569
315,93849
316,94147
317,94425
318,94694
319,94981
320,95249
321,95501
322,95776
323,96054
324,96351
325,96637
326,96935
327,97272
328,97612
329,97925
330,98198
331,98506
332,98818
333,99110
334,99392
335,99682
336,99986
337,100297
338,100610
339,100928
340,101199
341,101454
342,101716
343,101980
344,102258
345,102549
346,102860
347,103184
348,103518
349,103819
350,104088
351,104365
352,104630
353,104948
354,105262
355,105583
356,105905
357,106230
358,106525
359,106800
360,107069
361,107338
362,107621
363,107911
364,108218
365,108535
366,108847
367,109165
368,109468
369,109747
370,110025
371,110329
372,110645
373,110946
374,111254
375,111563
376,111867
377,112166
378,112436
379,112718
380,113017
381,113302
382,113587
383,113891
384,114205
385,114523
386,114818
387,115084
388,115361
389,115660
390,115967
391,116248
392,116540
393,116830
394,117135
395,117426
396,117731
397,118002
398,118281
399,118562
400,118849
401,119150
402,119445
403,119756
404,120072
405,120376
406,120675
407,120976
408,121267
409,121535
410,121826
411,122112
412,122403
413,122688
414,122982
415,123268
416,123545
417,123822
418,124102
419,124391
420,124682
421,124975
422,125280
423,125589
424,125900
425,126191
426,126474
427,126740
428,127030
429,127333
430,127643
431,127950
432,128251
433,128516
434,128796
435,129079
436,129351
437,129626
438,129910
439,130208
440,130516
441,130849
442,131148
443,131436
444,131739
445,132040
446,132344
447,132642
448,132947
449,133271
450,133596
451,133909
452,134165
453,134434
454,134729
455,135036
456,135350
457,135651
458,135959
459,136272
460,136601
461,136916
462,137215
463,137508
464,137777
465,138082
466,138382
467,138682
468,138978
469,139280
470,139578
471,139844
472,140119
473,140395
474,140686
475,140986
476,141285
477,141590
478,141899
479,142212
480,142511
481,142804
482,143088
483,143380
484,143676
485,143969
486,144262
487,144560
488,144844
489,145153
490,145432
491,145698
492,145982
493,146284
494,146586
495,146895
496,147210
497,147515
498,147822
499,148118
500,148416
